,antecedents,consequents,confidence,support,lift
21,frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.7203166226912928,0.026491994177583696,16.260378525375184
22,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.8263707571801566,0.03071324599708879,16.7798042418552
23,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.6236453201970443,0.03071324599708879,16.7798042418552
24,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.2559074912016088,0.02469674915089762,5.196308762231683
25,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.5014778325123153,0.02469674915089762,5.196308762231683
26,frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.7204502814258912,0.03726346433770015,14.629044630726717
27,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.7566502463054188,0.03726346433770015,14.629044630726717
28,frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.4104912572855954,0.023920426977195538,9.136311892717194
29,frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.5323974082073435,0.023920426977195538,9.136311892717194
30,frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JAM MAKING SET PRINTED'}),0.4165931156222418,0.022901504124211547,7.388970837327371
31,frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM MAKING SET WITH JARS'}),0.40619621342512907,0.022901504124211547,7.388970837327371
32,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.44372990353697744,0.020087336244541485,7.508434574628165
33,frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),0.33990147783251234,0.020087336244541485,7.508434574628166
34,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.6270096463022508,0.028384279475982533,6.177183943732977
35,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),0.27963671128107076,0.028384279475982533,6.177183943732977
36,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.4512325830653805,0.02042697719553615,7.914811520831908
37,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),0.35829787234042554,0.02042697719553615,7.914811520831908
38,frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),0.35641891891891886,0.020475497331392527,7.873305379334316
39,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.4523043944265809,0.020475497331392527,7.873305379334317
40,frozenset({'JUMBO BAG ALPHABET'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.456953642384106,0.020087336244541485,4.501823408000203
41,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG ALPHABET'}),0.19789674952198852,0.020087336244541485,4.501823408000202
42,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG APPLES'}),0.26099426386233265,0.026491994177583696,5.500093842743023
43,frozenset({'JUMBO BAG APPLES'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.558282208588957,0.026491994177583696,5.5000938427430235
44,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.39435946462715105,0.04002911208151383,6.673028379282088
45,frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.6773399014778325,0.04002911208151383,6.673028379282088
46,frozenset({'JUMBO BAG WOODLAND ANIMALS'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.4971031286210892,0.02081513828238719,8.41157264440119
47,frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG WOODLAND ANIMALS'}),0.3522167487684729,0.02081513828238719,8.41157264440119
48,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.3982978723404255,0.022707423580786028,6.739670894036265
49,frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.3842364532019705,0.022707423580786028,6.739670894036265
50,frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.4349662162162162,0.024987869966035903,7.360142624151244
51,frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.42282430213464695,0.024987869966035903,7.360142624151244
52,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.5988439306358382,0.025133430373605044,5.899700482985002
53,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),0.2476099426386233,0.025133430373605044,5.8997004829850015
54,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.48208092485549137,0.020232896652110626,8.455904562784406
55,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),0.3548936170212766,0.020232896652110626,8.455904562784406
56,frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.6767371601208458,0.02173702086365842,6.667090282070092
57,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'}),0.2141491395793499,0.02173702086365842,6.667090282070092
58,frozenset({'JUMBO BAG SPACEBOY DESIGN'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.6250000000000001,0.020863658418243572,6.157385277246655
59,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG SPACEBOY DESIGN'}),0.2055449330783939,0.020863658418243572,6.157385277246655
60,frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.6509090909090909,0.026055312954876272,6.412636885103424
61,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.2566921606118547,0.026055312954876272,6.412636885103424
62,frozenset({'JUMBO BAG VINTAGE LEAF'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.48350398179749715,0.020621057738961668,4.763392478416069
63,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG VINTAGE LEAF'}),0.20315487571701718,0.020621057738961668,4.763392478416068
64,frozenset({'JUMBO BAG WOODLAND ANIMALS'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.6199304750869061,0.025958272683163513,6.107441248346623
65,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG WOODLAND ANIMALS'}),0.255736137667304,0.025958272683163513,6.107441248346623
66,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.5787234042553192,0.03299369238233867,5.701476750335625
67,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.32504780114722753,0.03299369238233867,5.701476750335625
68,frozenset({'JUMBO STORAGE BAG SKULLS'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.5872340425531916,0.020087336244541485,5.7853219966640905
69,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SKULLS'}),0.19789674952198852,0.020087336244541485,5.7853219966640905
70,frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.6114864864864865,0.03512857836001941,6.024252622603483
71,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.3460803059273423,0.03512857836001941,6.024252622603483
72,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.3702046035805627,0.02809315866084425,3.6471878010494247
73,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.2767686424474187,0.02809315866084425,3.6471878010494247
74,frozenset({'RECYCLING BAG RETROSPOT '}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.5548128342245989,0.020135856380397867,5.465914203331254
75,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'RECYCLING BAG RETROSPOT '}),0.19837476099426388,0.020135856380397867,5.465914203331255
76,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.4119922630560928,0.02066957787481805,4.058872151809786
77,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.20363288718929254,0.02066957787481805,4.058872151809786
78,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.19867256637168143,0.0217855409995148,1.9572856562716798
79,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.21462715105162525,0.0217855409995148,1.9572856562716798
80,frozenset({'JUMBO BAG WOODLAND ANIMALS'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.5202780996523755,0.0217855409995148,9.056530096144813
81,frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG WOODLAND ANIMALS'}),0.37922297297297297,0.0217855409995148,9.056530096144812
82,frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.4425675675675676,0.02542455118874333,7.762823461759632
83,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.4459574468085106,0.02542455118874333,7.7628234617596314
84,frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.4005791505791506,0.020135856380397867,6.4854173554095
85,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.3260015710919089,0.020135856380397867,6.485417355409501
86,frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.4539130434782609,0.025327510917030567,7.34889852795519
87,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.4100549882168107,0.025327510917030567,7.34889852795519
88,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.4990825688073394,0.026394953905870936,8.080197755788896
89,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.42733699921445406,0.026394953905870936,8.080197755788896
90,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.40984654731457804,0.031101407083939835,6.635457454951652
91,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.5035349567949725,0.031101407083939835,6.635457454951652
92,frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.44252376836646495,0.024842309558466762,7.164505000811345
93,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.4021995286724273,0.024842309558466762,7.164505000811345
94,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.40455616653574233,0.024987869966035903,7.684702850047604
95,frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.47465437788018433,0.024987869966035903,7.684702850047604
96,frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.4361493123772102,0.021542940320232896,7.061301907379656
97,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG WOODLAND'}),0.3487824037706206,0.021542940320232896,7.061301907379657
98,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.31138107416879796,0.023629306162057252,6.194559786311705
99,frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.4700772200772201,0.023629306162057252,6.194559786311705
100,frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.4333976833976835,0.0217855409995148,8.232558760208532
101,frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.41382488479262675,0.0217855409995148,8.23255876020853
102,frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.4365217391304348,0.02435710819990296,8.253865177502991
103,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.46055045871559636,0.02435710819990296,8.253865177502993
104,frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.4817391304347826,0.02688015526443474,6.3482375180696105
105,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.3542199488491049,0.02688015526443474,6.3482375180696105
106,frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.42000000000000004,0.023435225618631733,7.481590319792567
107,frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.41745894554883317,0.023435225618631733,7.481590319792566
108,frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.40956521739130436,0.02285298398835517,7.7798517331196155
109,frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.4341013824884793,0.02285298398835517,7.779851733119616
110,frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG WOODLAND'}),0.38956521739130434,0.02173702086365842,7.88697360553515
111,frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG CARS BLUE'}),0.4400785854616896,0.02173702086365842,7.88697360553515
112,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.5559633027522936,0.02940320232896652,7.326345057368779
113,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.3874680306905371,0.02940320232896652,7.326345057368779
114,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.39266055045871556,0.02076661814653081,6.994584222086541
115,frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.3699222126188418,0.02076661814653081,6.99458422208654
116,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.38073394495412843,0.020135856380397867,7.232190419819896
117,frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.3824884792626728,0.020135856380397867,7.232190419819896
118,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.35805626598465473,0.027171276079573023,6.37816736555206
119,frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.48401037165082106,0.027171276079573023,6.37816736555206
120,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.3554987212276215,0.0269771955361475,6.752837460369842
121,frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.5124423963133641,0.0269771955361475,6.752837460369843
122,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG WOODLAND'}),0.33631713554987214,0.02552159146045609,6.808935327782775
123,frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.5166994106090373,0.02552159146045609,6.808935327782775
124,frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.39325842696629215,0.022076661814653082,7.470097861544038
125,frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.41935483870967744,0.022076661814653082,7.470097861544038
126,frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG WOODLAND'}),0.4140017286084702,0.02324114507520621,8.381704937741228
127,frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.47053045186640474,0.02324114507520621,8.381704937741228
128,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'NATURAL SLATE HEART CHALKBOARD '}),0.1836283185840708,0.020135856380397867,3.0300877870437946
129,frozenset({'NATURAL SLATE HEART CHALKBOARD '}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.3322658126501201,0.020135856380397867,3.0300877870437946
130,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.4948216340621404,0.020863658418243572,7.725965059106601
131,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.32575757575757575,0.020863658418243572,7.725965059106601
132,frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.6731707317073171,0.02678311499272198,11.960386879730866
133,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.47586206896551725,0.02678311499272198,11.960386879730867
134,frozenset({'PARTY BUNTING'}),frozenset({'SPOTTY BUNTING'}),0.28647686832740216,0.023435225618631733,5.174661048402943
135,frozenset({'SPOTTY BUNTING'}),frozenset({'PARTY BUNTING'}),0.4233128834355828,0.023435225618631733,5.174661048402943
136,frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.5619136960600375,0.029063561377971857,15.118852840466543
137,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.7819843342036553,0.029063561377971857,15.118852840466543
138,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.21902654867256638,0.024017467248908297,6.091952993443446
139,frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.6680161943319839,0.024017467248908297,6.091952993443447
140,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'STRAWBERRY CHARLOTTE BAG'}),0.4700193423597679,0.023580786026200874,13.417034135782293
141,frozenset({'STRAWBERRY CHARLOTTE BAG'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.6731301939058172,0.023580786026200874,13.417034135782293
142,frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.6059880239520958,0.02455118874332848,12.078736144731813
143,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.48936170212765956,0.02455118874332848,12.078736144731813
144,frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.49249530956848026,0.025473071324599708,5.103231940777466
145,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.26395173453996984,0.025473071324599708,5.103231940777466
146,frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.5550978372811535,0.026152353226589035,10.400514933058703
147,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.49000000000000005,0.026152353226589035,10.400514933058703
148,"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.9048414023372288,0.026297913634158177,18.373183548936243
149,"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.7057291666666666,0.026297913634158177,18.988352643603132
150,"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.8562401263823065,0.026297913634158177,16.554511261481554
151,frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.5084427767354597,0.026297913634158177,16.554511261481554
152,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",0.7075718015665796,0.026297913634158177,18.988352643603132
153,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",0.5339901477832513,0.026297913634158177,18.373183548936243
154,"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG RED RETROSPOT'})",frozenset({'JUMBO BAG PINK POLKADOT'}),0.5704419889502762,0.020038816108685104,9.652552867212801
155,"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.8019417475728156,0.020038816108685104,7.900582895542891
156,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO STORAGE BAG SUKI'}),0.5006060606060606,0.020038816108685104,8.71409705159705
157,frozenset({'JUMBO STORAGE BAG SUKI'}),"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT'})",0.34881756756756754,0.020038816108685104,8.71409705159705
158,frozenset({'JUMBO BAG RED RETROSPOT'}),"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK POLKADOT'})",0.1974187380497132,0.020038816108685104,7.900582895542891
159,frozenset({'JUMBO BAG PINK POLKADOT'}),"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG RED RETROSPOT'})",0.3390804597701149,0.020038816108685104,9.652552867212801
